02-Mar-2018 11:02:52

Rotor = T-Motor 18 inch    Motor = Scorpion SII-4020-420KV    Rotation = CCW

Tunnel RPM = 550.0    AoA = 0 deg   Motor Speed = 3000 rpm

Scan Rate = 2000 Hz   Number of Readings = 5000   Pressure = 29.58 inHg  

  Time(s)       Temp(f)    Velocity(m/s)    Position(deg)     Fx(N)         Fy(N)         Fz(N)        Tx(Nm)        Ty(Nm)       Tz(Nm) 
  0.141313     73.728752      12.210406       121.824679     -17.564880      1.184621      11.026433      0.695093     -0.524057    -0.266603  
  0.141704     73.728752      12.211713       130.927289     -19.409701     -1.471597      10.934929      0.922486     -0.487469    -0.374579  
  0.142097     73.097473      12.291650       140.172120     -11.292953     -13.824841      10.732691      0.945995     -0.587801    -0.217931  
  0.142500     72.750264      12.195285       149.298428     -3.201614     -14.621801      16.500008      1.038585     -0.596292    -0.074335  
  0.142885     72.592443      12.196088       157.429141      5.710687     -13.167082      5.680561      1.097217     -0.688777    -0.172095  
  0.143265     72.813392      12.197314       166.768798      2.921972     -12.941476      10.624898      1.001225     -0.567099    -0.289259  
  0.143645     73.318422      12.203096       176.653652      3.733237     -6.754681      4.768579      0.967719     -0.557645    -0.366208  
  0.144026     73.065907      12.172748       185.874795      2.045320     -4.026303      13.326266      0.833337     -0.462578    -0.196922  
  0.144406     73.223728      12.203319       195.072213     -2.246127      2.494059      11.703870      0.789519     -0.352996    -0.169052  
  0.144789     73.318422      12.207015       203.819242      0.824592     -5.537802      22.829832      0.585805     -0.228635    -0.237922  
  0.145171     73.539370      12.212157       212.898146     -0.929392     -2.935528      18.025956      0.467240     -0.208674    -0.353447  
  0.145553     73.476243      12.210128       222.071875      1.802937     -0.444642      18.053367      0.411810     -0.188827    -0.225564  
  0.145935     73.349983      12.206070       230.818905      7.769809     -4.214913      18.386649      0.247704     -0.314141    -0.292136  
  0.146317     73.223728      12.205930       239.945221      12.388441      9.207057      16.452914      0.286587     -0.394449    -0.130515  
  0.146699     73.318422      12.199177       248.810766      17.014991      5.190291      12.839839      0.126417     -0.558832    -0.240341  
  0.147080     72.939652      12.233967       257.652621      13.781345      11.464205      12.437343      0.134416     -0.583233    -0.341913  
  0.147461     73.602498      12.203735       266.778938      6.659551      13.555253      14.127631      0.256500     -0.531030    -0.309246  
  0.147845     73.665625      12.200535       275.620794     -2.878552      8.911851      9.060425      0.321707     -0.563594    -0.282902  
  0.148229     73.697191      12.194357       284.344117     -8.505530      7.056087      13.841133      0.508419     -0.587417    -0.226222  
  0.148610     73.634064      12.194943       292.451124     -17.339623      3.886135      14.185991      0.681160     -0.530407    -0.254999  
  0.148990     73.728752      12.189484       300.463305     -19.470995      1.700670      10.446013      0.908006     -0.540611    -0.296260  
  0.149371     73.318422      12.179560       311.320073     -18.311557     -5.886281      11.748450      1.037829     -0.551719    -0.176344  
  0.149754     72.908086      12.184026       320.422665     -12.993084     -15.758625      10.006271      1.050932     -0.601051    -0.127336  
  0.150137     72.908086      12.181411       329.620118     -4.842765     -10.730033      14.213905      1.210709     -0.558034    -0.267085  
  0.150519     72.971213      12.184748       338.153789     -1.187347     -14.912994      8.176906      1.151171     -0.605721    -0.355184  
  0.150899     72.844958      12.183304       346.474137      2.428850     -12.544290      12.520942      1.023524     -0.522375    -0.157190  
  0.151279     72.813392      12.193396       356.548625      9.716060     -7.122349      13.611883      0.904569     -0.572434    -0.144850  
  0.151658     72.939652      12.196148       4.865683      4.110359     -4.400328      9.646767      0.734056     -0.468450    -0.242160  
  0.152040     73.539370      12.209544       13.920879     -0.367324      1.266657      8.680252      0.664879     -0.344847    -0.341981  
  0.152422     73.539370      12.214768       22.430867     -2.000333     -5.223543      16.886269      0.373696     -0.206512    -0.263907  
  0.152804     73.507804      12.223542       31.438653     -2.030363     -3.031808      16.781737      0.197717     -0.163450    -0.158761  
  0.153184     73.665625      12.224046       41.062762      1.379144      1.549095      19.023001      0.134327     -0.156200    -0.268500  
  0.153567     73.634064      12.238030       50.283891      10.835268      4.369306      16.277449      0.009924     -0.316846    -0.327725  
  0.153948     73.381549      12.231223       59.173155      11.903669      8.032443      16.899286     -0.074560     -0.377931    -0.268529  
  0.154443     73.349983      12.241283       68.323169      14.082397      8.674851      10.890724     -0.167068     -0.525054    -0.138489  
  0.154827     73.318422      12.250033       77.117617      9.367671      12.690305      14.175242     -0.090753     -0.511377    -0.249328  
  0.155209     73.760319      12.202926       85.864646      2.436500      12.457773      13.631339     -0.013587     -0.500335    -0.317417  
